id,pref_code,pref,occurred_at,species,species_label,category,category_raw,count,municipality,place,lat,lon,note,source_id,source_page,license,attribution
yamaguchi-bear:yp-2026:29,35,山口県,2026-04-29T16:10:00+09:00,bear,クマ,sighting,車で走行中、県道上にいる熊を目撃したもの,1,,"岩国市本郷町
　　県道上",34.26985,132.04051,車で走行中、県道上にいる熊を目撃したもの,yamaguchi-bear,https://yamaguchi-opendata.jp/ckan/dataset/yp-2026,CC-BY-4.0,山口県オープンデータカタログサイト（山口県警察本部地域企画課）
akita-kumadas:24119,05,秋田県,2026-04-29T16:25:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒014-0073 秋田県大仙市内小友中山６９,39.44108072,140.3955783,【投稿】高速道路を秋田市方向へ走行中、左側の傾斜面に成獣1頭を発見。高速道路に降りようとしているのかウロウロしていた。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24184,05,秋田県,2026-04-29T17:00:00,shika,ニホンジカ,sighting,目撃,1,秋田市,〒010-0044 秋田県秋田市横森３丁目８－１９,39.70341727,140.1453495,【投稿】道路に立っていた,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24128,05,秋田県,2026-04-29T17:53:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,小坂町,秋田県小坂町十和田湖休平周辺,40.424474,140.9083861,【投稿】沿いの茂みの中を子熊が1頭走っていた,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24123,05,秋田県,2026-04-29T18:50:00,tsukinowaguma,ツキノワグマ,sighting,目撃,3,三種町,秋田県三種町天瀬川,39.985933,140.0837433,【投稿】車からですが、目撃しました。ドラレコにはしっかり残ってます,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24124,05,秋田県,2026-04-29T22:29:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-1654 秋田県秋田市浜田後谷地４７,39.67871529,140.0719095,【投稿】車で通ったら熊らしき物体が横切った,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24126,05,秋田県,2026-04-29T22:37:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,潟上市,〒010-0201 秋田県潟上市天王北野２３１－１６,39.84229426,140.0224337,追分方向から男鹿方向進行中に道路右から左の藪の中に入って行った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24125,05,秋田県,2026-04-29T23:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-1613 秋田県秋田市新屋朝日町１－５ 1階,39.70125597,140.0910527,【投稿】,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24127,05,秋田県,2026-04-29T23:05:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,大仙市,〒014-0022 秋田県大仙市大花町8-22,39.4641357,140.4828808,通行中の車両から1m程度のクマを目撃。南側の線路方向へ立ち去った。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
kamisunagawa-higuma:0,01,北海道,2026-04-30T05:00:00+09:00,higuma,ヒグマ,sighting,,,空知郡上砂川町,テレビ中継局に上がる林道入口から100ｍ奥,43.4788847,141.9798644,羆を目撃,kamisunagawa-higuma,https://data.bodik.jp/organization/014257,CC-BY-4.0,上砂川町
